County,Year7
BARINGO,17157
BOMET,26413
BUNGOMA,53867
BUSIA,21524
ELGEYO MARAKWET,14676
EMBU,22488
GARISSA,4694
HOMABAY,39085
ISIOLO,2002
KAJIADO,9470
KAKAMEGA,61489
KERICHO,28393
KIAMBU,58410
KILIFI,22339
KIRINYAGA,22287
KISII,63499
KISUMU,36014
KITUI,37945
KWALE,14104
LAIKIPIA,14484
LAMU,2982
MACHAKOS,48280
MAKUENI,47962
MANDERA,5473
MARSABIT,2711
MERU,44818
MIGORI,30352
MOMBASA,9856
MURANG'A,53247
NAIROBI,26804
NAKURU,47782
NANDI,25363
NAROK,12300
NYAMIRA,24951
NYANDARUA,24156
NYERI,37373
SAMBURU,2456
SIAYA,33164
TAITA TAVETA,10002
TANA RIVER,2911
THARAKA NITHI,20567
TRANS NZOIA,25437
TURKANA,5015
UASIN GISHU,23444
VIHIGA,28916
WAJIR,4362
WEST POKOT,9278
